QTY,MPN,Value,Manufacturer,Ref. Des.,Description,Package,Datasheet
5,CC0603KRX7R9BB104,100n/50V,Yageo,"C101, C102, C107, C110, C114",100nF (104) ±10% 50V X7R,C0603,""
5,CL31A106KBHNNNE,10μ/50V,Samsung,"C103, C104, C108, C112, C116",10uF ±10% 50V,C1206,""
7,RVT1H101M0607,100u/50V,Roqang,"C105, C106, C109, C111, C113, C115, C117",100uF ±20% 50V,CP_Elec_6.3x7.7,""
5,SS34,SS34,MDD,"D101, D102, D104, D105, D106",40V 3A Schottky Diode,SMA,""
1,SMAJ40CA,40V/6.2A,MDD,D103,40V/6.2A,SMA,""
8,Generic SMD 6070 RGB LED (6-Terminal),LED RGB,"","D201, D202, D203, D204, D205, D206, D207, D208","",LED_RGB_Getian_GT-P6PRGB4303,""
13,Generic 6070 1W/3W SMD LED,LED6070,"","D209, D210, D211, D212, D213, D214, D215, D216, D217, D218, D219, D220, D221",Generic 6070 1W/3W SMD LED,LED_SMD_6070_1W_3W,""
1,01550900M,01550900M,Littlefuse,F101,"Fuse Block, Cartridge, OMNI-BLOK Series, 125V, 10A, J-Lead | Littelfuse 01550900M",01550900M,""
2,TS34031,TS34031,XFCN,"J101, J102",50A/M3,TS34031,""
1,SMH-107-02-G-D,SMH-107-02-G-D,Samtec,J103,"Socket 2.54mm, 2x7, SMT horizonal orentation",SMH-107-02-G-D,https://suddendocs.samtec.com/productspecs/tsw-sxx.pdf
1,A2501WR-S-2P,A2501WR-S-2P,CJT,J104,2.5mm/2P/SMD Horizontal,A2501WR-S-2P,https://cjt.com/up/A2501WR-S-XP_dwg.pdf
1,X2510WRS-04-9TSN,X2510WRS-04-9TSN,XKB Connectivity,J105,"Pin socket, 1X4P, P=2.54, SMD Horizontal",Pin Socket 2510(P2.54mm) 4P Horizonal,""
5,SLF10145T-680M1R2-PF,68u/1.2A,TDK,"L101, L102, L103, L104, L105",68uH ±20% 1.2A,SLF10145,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_power_slf10145_en.pdf
5,0603WAF1002T5E,10k,UniOhm,"R101, R102, R109, R118, R125",10k 1% 0603,R0603,""
8,HoYH1206-1W-500mR-1%,0R5/1%,Milliohm,"R103, R104, R107, R111, R112, R119, R120, R127",500mΩ/1%/1W/50ppm,R1206,""
22,QM82-D,0R0,"","R105, R108, R110, R113, R114, R115, R116, R121, R122, R123, R124, R128, R201, R202, R203, R204, R205, R206, R207, R208, R209, R210",0R0/12A,Jump 0R0 (8.2mm*1.5mm),""
2,HoLRT1206-1W-200mR-1%,0R2/1%,Milliohm,"R106, R126",200mΩ/1%/1W/50ppm,R1206,""
1,SDNT2012X103F3950FTF,10k/3950K/1%,Sunlord,R117,10kΩ ±1% 3950K,R0805,https://item.szlcsc.com/97172.html
1,K2-1109SE-I4SW-04,K2-1109SE-I4SW-04,Krhro,S101,4.5x4.5x7.5 SMD push switch,K2-1109SE-I4SW-04,https://item.szlcsc.com/3185981.html
5,MBI6658,MBI6658,Macroblock,"U101, U102, U103, U104, U105",2A 40V LED Driver,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,""
